player_id,player,position,team,targets_pg,carries_pg,receptions_pg,opportunities_pg,redzone_opportunity_pg,receiving_tds_pg,rushing_tds_pg,td_rate,receiving_yards_pg,rushing_yards_pg,target_share,season_targets,season_carries,season_tds,games,last_week,injury_status,opponent,role_score,opportunity_score,red_zone_score,efficiency_score,opponent_td_allowed,matchup_score,team_td_environment,team_environment_score,td_score,td_estimate,actual_td,week
00-0036900,Ja'Marr Chase,WR,CIN,11.261224489795918,0.1945578231292517,7.456462585034013,11.45578231292517,2.90952380952381,0.8136054421768709,0.0,0.07102137767220905,94.78503401360544,1.9809523809523808,0.2897716877821744,180.0,3.0,17.0,18,18,Active,JAX,98.94299287410927,99.5249406175772,99.7624703087886,89.76377952755905,30,78.125,56,81.25,96.70224858323826,29.8,1,2
00-0036322,Justin Jefferson,WR,MIN,9.051700680272107,0.20408163265306123,5.715646258503402,9.255782312925168,2.3493197278911566,0.6462585034013606,0.0,0.06982213729237104,76.07551020408164,0.8163265306122449,0.28643006750308436,169.0,2.0,11.0,19,19,Active,ATL,97.47030878859857,97.38717339667458,98.812351543943,89.42632170978627,37,100.0,48,71.875,95.63581374626271,29.8,0,2
00-0039139,Jahmyr Gibbs,RB,DET,6.5068027210884365,14.783673469387757,5.472108843537415,21.290476190476195,6.074149659863947,0.2829931972789116,1.0612244897959184,0.06313704188899893,42.169387755102036,77.42925170068028,0.1745237113326692,84.0,273.0,22.0,19,20,Active,CHI,97.7327935222672,97.16599190283401,98.38056680161942,87.73903262092239,21,75.0,73,93.75,95.08724832978874,29.8,1,2
00-0032764,Derrick Henry,RB,BAL,1.3537414965986396,20.14897959183674,1.0,21.50272108843538,3.33843537414966,0.0,1.1244897959183675,0.05229523237052738,11.2843537414966,132.79455782312928,0.057172181785430744,25.0,385.0,23.0,20,20,Active,CLE,90.62753036437246,97.57085020242914,91.49797570850203,84.81439820022497,23,87.5,74,96.875,94.63164099679847,29.8,0,2
00-0037744,Trey McBride,TE,ARI,10.211564625850341,0.05306122448979592,7.494557823129252,10.264625850340137,2.4506802721088436,0.23877551020408166,0.05306122448979592,0.02843130757505468,74.71632653061225,0.10612244897959185,0.3028630947898079,156.0,1.0,3.0,17,18,Active,CAR,99.8409090909091,100.0,99.54545454545455,74.80314960629921,36,96.875,41,50.0,94.53577308518254,29.8,0,2
00-0031381,Davante Adams,WR,LA,10.396598639455782,0.0,6.113605442176871,10.396598639455782,2.520408163265306,0.645578231292517,0.0,0.062095138389059744,79.91836734693878,0.0,0.3147463168187666,149.0,0.0,8.0,15,18,Active,TEN,98.81235154394301,98.812351543943,99.2874109263658,87.4015748031496,28,62.5,43,62.5,94.49047075766362,29.8,1,2
00-0034844,Saquon Barkley,RB,PHI,3.4081632653061225,22.536734693877555,2.717687074829932,25.944897959183677,5.585034013605442,0.0,0.9734693877551021,0.03752064815543144,14.908843537414965,110.85918367346939,0.163632696118727,63.0,454.0,21.0,21,22,Active,KC,99.4331983805668,100.0,97.57085020242914,78.51518560179977,17,43.75,72,90.625,94.24189315657405,29.8,1,2
00-0035700,Josh Jacobs,RB,GB,2.0435374149659866,17.505442176870748,1.9285714285714288,19.548979591836734,5.76156462585034,0.0,1.2829931972789117,0.0656296760274211,21.72244897959184,69.79387755102042,0.0816746165517674,47.0,338.0,18.0,19,19,Active,WAS,92.02429149797571,95.1417004048583,97.97570850202429,88.18897637795276,28,100.0,55,78.125,94.14827138257516,29.8,1,2
00-0033858,Jonnu Smith,TE,PIT,7.591836734693879,0.0707482993197279,6.220408163265306,7.662585034013607,2.300340136054422,0.8231292517006805,0.0,0.10742187500000001,51.912925170068036,0.0,0.21759606428526743,117.0,2.0,9.0,18,18,Active,SEA,97.27272727272728,97.27272727272728,99.0909090909091,95.95050618672666,28,62.5,41,50.0,94.07356580427448,29.8,0,2
00-0038597,Chase Brown,RB,CIN,4.671428571428572,18.886394557823134,3.8659863945578232,23.557823129251705,7.0435374149659875,0.2653061224489796,0.5224489795918368,0.03343921455385504,27.95986394557823,68.60204081632654,0.12419376717475532,68.0,250.0,12.0,17,17,Active,JAX,96.94331983805668,98.78542510121457,100.0,77.16535433070865,19,59.375,56,81.25,93.8670223787816,29.8,0,2
00-0038994,Jordan Addison,WR,MIN,7.952380952380953,0.05714285714285715,4.6380952380952385,8.009523809523811,1.8238095238095238,0.6666666666666667,0.0,0.08323424494649226,58.41904761904762,0.2285714285714286,0.23027463107969254,107.0,3.0,10.0,16,19,Active,ATL,93.55106888361045,94.29928741092637,97.14964370546319,92.2384701912261,37,100.0,48,71.875,93.76148806072638,29.8,0,2
00-0031408,Mike Evans,WR,TB,8.592517006802723,0.0,6.300000000000001,8.592517006802723,1.1363945578231294,0.636734693877551,0.0,0.07410339640566857,82.47414965986395,0.0,0.29778377399614864,125.0,0.0,12.0,16,19,Active,HOU,96.63895486935866,95.72446555819477,90.26128266033254,90.5511811023622,34,93.75,62,84.375,93.75413572858024,29.8,0,2
